Plot,Landuse,Acacia chundra,Aegle marmelos,Alangium salvifolium,Albizia amara,Annona squamosa,Anogessius latifolia,Azadirachta indica,Butea monosperma,Cassia fistula,Chloroxylon sweitenia,Dalbergia paniculata,Dichrostachys cinerea,Diospyros chloroxylon,Diospyros melanoxylon,Dolichandrone atrovirens,Erythroxylum monogynum,Ficus tomentosa,Gardenia gummifera,Grewia flavascens,Gyrocarpus americanus,Hardwickia binata,Holoptelia integrifolia,Morinda pubescens,Pongamia pinnata,Premna tomentosa,Psydrax dicoccos,Sapindus emarginatus,Soymida febrifuga,Tectona grandis,Wrightia tinctoria,Ziziphus mauritiana,
10,CL,0,0,0,0,0,0,5,0,3,0,24,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,36
13,CL,0,0,0,1,1,0,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,3,0,0,0,0,0,6,0,34
23,CL,0,0,0,0,3,0,9,0,1,0,0,0,0,0,0,0,0,0,0,2,0,2,0,8,0,0,0,0,0,0,0,25
25,CL,0,0,0,0,8,0,28,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,4,0,0,1,0,0,1,1,45
28,CL,0,0,0,1,3,0,21,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,28
36,CL,0,0,8,0,2,0,1,4,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,13,0,0,0,0,0,0,0,29
40,CL,0,0,6,0,0,0,18,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23,0,0,0,0,0,0,0,48
41,CL,3,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,8
N,CL,42,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,42
16,RF,1,0,0,0,0,0,0,0,2,0,19,3,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,28
18,RF,6,0,0,0,0,0,0,0,2,58,0,0,0,0,28,0,0,0,0,0,0,0,0,0,2,0,0,0,0,2,0,98
22,RF,0,0,0,1,0,0,0,0,1,1,2,0,0,0,27,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,34
E,RF,0,0,0,0,0,28,0,0,7,0,4,0,0,0,19,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,66
M,RF,8,2,0,0,0,4,0,0,2,0,0,0,0,1,29,0,0,0,0,0,1,1,0,0,0,0,0,0,7,2,0,57
NG,RF,0,0,0,1,0,0,0,0,0,0,10,0,0,0,0,4,1,0,0,1,5,0,0,0,1,1,0,0,0,0,0,24
SG,RF,0,0,0,11,0,0,0,0,1,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,1,0,0,0,0,5,0,20
T,RF,0,0,0,1,3,0,2,0,4,0,0,0,4,0,0,2,3,0,0,2,0,2,1,0,0,0,0,0,0,1,0,25
20,RF,2,0,0,0,0,0,2,0,3,0,0,3,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,9,0,22
